Acquired Medium google / others,city,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,Mumbai,2/21/2019,1/14/2020,309,3324,708,133,637,28,97,113,0,327,52336.229178581,71
Normal,Other,7/1/2019,8/6/2020,393,3325,582,37,848,162,113,131,0,402,31974.205698175,171
Normal,Bengaluru,7/6/2019,11/10/2020,478,3327,17,138,83,80,180,160,0,493,39762.065430773,134
Normal,Bengaluru,1/26/2020,6/24/2020,141,3329,656,95,864,10,92,174,0,150,63962.100418006,124
Normal,Bengaluru,11/8/2019,9/25/2020,309,3331,599,121,508,162,242,188,0,322,1299.531565929,147
Normal,Mumbai,5/23/2019,4/26/2020,337,3332,232,166,710,89,294,41,0,339,14796.110773974,85
Normal,Bengaluru,5/20/2020,7/6/2020,28,3334,384,152,926,72,62,188,0,47,46579.544097719,109
Normal,Bengaluru,4/2/2020,5/14/2020,28,3337,268,163,841,161,393,110,0,42,23058.381741902,170
Normal,Bengaluru,3/4/2019,6/26/2020,478,3338,640,9,180,25,469,120,0,480,11652.902593411,55
Normal,Other,3/11/2019,7/18/2019,112,3340,265,157,834,137,301,132,0,129,22664.997589671,50
Normal,Other,4/10/2019,7/2/2020,422,3341,842,95,776,11,353,100,0,449,10209.330220156,76
Normal,Mumbai,4/7/2019,5/21/2019,28,3342,947,33,298,195,224,194,0,44,50563.062995738,57
Normal,Other,4/28/2020,9/19/2020,141,3343,114,56,822,31,214,113,0,144,19947.087495100,73
Normal,Pune,10/23/2019,12/5/2020,393,3345,860,36,677,132,159,134,0,409,32766.324844106,152
Normal,Other,6/7/2019,10/17/2019,112,3350,318,194,284,42,252,174,0,132,22567.545255847,97
Normal,Mumbai,5/22/2019,4/28/2020,337,3351,677,141,913,100,201,19,0,342,52142.197164991,163
Normal,Mumbai,8/6/2020,8/29/2020,0,3353,643,26,246,65,183,109,0,23,10412.805063351,162
Normal,Pune,3/22/2019,6/28/2019,84,3354,756,159,930,154,71,38,0,98,51084.497712475,156
Normal,Bengaluru,1/4/2019,6/27/2019,169,3355,171,70,358,17,299,199,0,174,61202.142261561,159
Normal,Bengaluru,7/22/2019,2/19/2020,197,3356,285,41,289,132,67,156,0,212,42310.072052826,127
Normal,Mumbai,3/10/2019,11/27/2019,253,3359,489,83,593,120,230,152,0,262,19850.262931973,34
Normal,Mumbai,7/20/2019,2/9/2020,197,3366,659,69,455,49,14,72,0,204,26113.114719262,24
Normal,Mumbai,11/22/2019,12/9/2019,0,3370,281,108,665,18,439,96,0,17,14739.759234365,31
Normal,Mumbai,9/28/2019,10/5/2020,365,3371,501,55,763,182,473,108,0,373,44537.352737203,157
Normal,Bengaluru,7/3/2019,7/15/2020,365,3373,444,40,228,124,308,56,0,378,51548.550578763,110
Normal,Other,12/27/2019,4/10/2020,84,3374,232,9,520,87,41,131,0,105,47591.267408728,128
Normal,Bengaluru,7/16/2019,8/27/2019,28,3375,356,177,271,77,141,30,0,42,2806.243241219,22
Normal,Pune,5/11/2019,4/26/2020,337,3376,852,173,507,93,182,72,0,351,13868.103725557,174
Normal,Pune,1/16/2020,7/29/2020,169,3378,568,80,196,194,466,10,0,195,10886.466006286,7
Normal,Other,3/31/2019,3/13/2020,337,3381,531,146,298,102,384,112,0,348,22681.909939600,153
Normal,Mumbai,2/13/2020,10/15/2020,225,3383,373,186,933,7,9,32,0,245,9904.452553152,102
Normal,Bengaluru,5/20/2020,10/13/2020,141,3385,82,151,255,46,70,86,0,146,36445.032491317,162
Normal,Mumbai,3/16/2019,4/13/2020,393,3386,853,0,847,21,241,83,0,394,3626.657636638,158
Normal,Mumbai,4/13/2020,10/12/2020,169,3388,321,50,949,102,84,69,0,182,54729.335164253,52
Normal,Bengaluru,3/4/2019,4/12/2019,28,3389,637,147,167,21,365,8,0,39,10947.332903659,29
Normal,Other,5/21/2019,9/14/2020,478,3390,399,49,266,141,354,57,0,482,39648.105356277,162
Normal,Pune,6/17/2020,8/24/2020,56,3391,462,190,183,12,316,61,0,68,555.930388230,46
Normal,Mumbai,1/18/2019,7/5/2020,534,3394,854,75,762,136,152,163,0,534,17890.245441359,105
Normal,Mumbai,1/9/2020,5/27/2020,112,3395,27,39,174,43,303,58,0,139,18869.319967371,172
Normal,Pune,3/5/2020,7/29/2020,141,3396,179,129,927,144,46,151,0,146,42392.445091494,23
Normal,Bengaluru,11/8/2019,12/13/2019,28,3399,234,84,771,49,269,186,0,35,70509.650154483,43
Normal,Pune,2/11/2019,2/11/2020,337,3402,664,70,110,133,342,84,0,365,8898.443618372,114
Normal,Bengaluru,8/23/2019,6/13/2020,281,3403,638,184,10,162,237,75,0,295,31600.124127651,85
Normal,Other,4/26/2019,5/8/2020,365,3407,193,25,350,179,482,92,0,378,19554.757335374,84
Normal,Bengaluru,4/9/2019,11/14/2020,562,3408,964,183,430,23,51,7,0,585,10715.939166521,5
Normal,Pune,8/19/2019,6/16/2020,281,3410,571,69,824,175,58,31,0,302,37963.817381301,83
Normal,Mumbai,10/21/2020,10/22/2020,0,3413,268,15,925,94,139,87,0,1,21016.432050007,66
Normal,Bengaluru,3/6/2019,5/13/2019,56,3416,297,141,734,146,155,162,0,68,64268.475423544,179
Normal,Bengaluru,8/23/2019,8/9/2020,337,3418,409,188,464,140,26,16,0,352,43350.856779076,48
Normal,Other,12/22/2019,5/15/2020,141,3420,416,88,471,134,240,107,0,145,43103.753383566,71
Normal,Bengaluru,3/5/2019,9/1/2020,534,3425,817,97,75,193,437,21,0,546,5221.752472233,143
Normal,Bengaluru,3/23/2020,4/3/2020,0,3426,587,169,530,182,61,125,0,11,36166.980155923,83
Normal,Other,2/6/2020,3/14/2020,28,3427,17,164,790,169,477,194,0,37,41679.451992300,127
Normal,Mumbai,2/3/2019,9/1/2020,562,3428,549,33,506,1,334,26,0,576,44551.627578416,110
Normal,Mumbai,7/24/2019,11/13/2020,478,3430,92,6,541,18,208,184,0,478,8056.630162051,156
Normal,Mumbai,12/14/2019,8/13/2020,225,3431,165,84,316,193,452,136,0,243,49020.985644709,114
Normal,Pune,1/26/2019,6/22/2019,141,3432,754,128,885,113,51,46,0,147,3395.624380552,80
Normal,Pune,1/26/2019,7/12/2020,506,3433,352,90,557,169,58,10,0,533,56609.971856925,38
Normal,Pune,4/3/2020,11/5/2020,197,3436,963,109,893,189,261,80,0,216,50321.146061561,58
Normal,Bengaluru,7/26/2020,9/4/2020,28,3437,109,170,110,140,241,14,0,40,23039.071423506,49
Normal,Bengaluru,9/13/2019,3/17/2020,169,3438,840,29,166,64,209,163,0,186,27410.201166580,162
Normal,Other,1/6/2019,12/8/2020,674,3440,705,131,162,157,134,12,0,702,27296.311792287,140
Normal,Other,7/2/2020,9/5/2020,56,3442,588,191,148,159,372,2,0,65,311.569356507,19
Normal,Other,5/12/2019,7/9/2020,422,3443,421,56,584,68,90,118,0,424,51918.985094200,1
Normal,Bengaluru,4/12/2019,2/7/2020,281,3444,566,53,416,136,489,186,0,301,49824.957984228,142
Normal,Pune,2/27/2019,2/17/2020,337,3446,899,86,121,7,451,149,0,355,7011.396543667,105
Normal,Mumbai,5/28/2019,4/12/2020,309,3447,895,129,58,5,484,24,0,320,21689.045618500,150
Normal,Bengaluru,7/31/2019,5/25/2020,281,3448,526,84,840,132,123,191,0,299,47214.889878041,115
Normal,Pune,2/6/2020,2/20/2020,0,3449,294,86,882,36,200,30,0,14,67562.450290610,34
Normal,Pune,3/25/2019,6/4/2019,56,3452,169,16,815,29,459,74,0,71,60675.587583670,173
Normal,Pune,6/20/2019,5/20/2020,309,3456,811,7,244,158,416,115,0,335,57192.102513713,79
Normal,Other,1/3/2020,9/7/2020,225,3458,389,117,911,81,312,151,0,248,53313.344239083,31
Normal,Bengaluru,2/28/2019,12/5/2020,618,3459,607,154,652,115,330,156,0,646,11937.960384904,133
Normal,Other,8/4/2019,11/6/2020,450,3461,514,68,66,185,309,162,0,460,67987.803643158,141
Normal,Bengaluru,6/15/2020,6/24/2020,0,3463,689,171,285,153,138,46,0,9,46818.409033652,196
Normal,Pune,6/27/2020,11/8/2020,112,3464,128,33,384,65,48,6,0,134,60157.718431507,136
Normal,Mumbai,10/30/2019,11/29/2020,393,3465,478,33,125,94,266,38,0,396,4392.260206643,165
Normal,Bengaluru,1/11/2020,2/14/2020,28,3466,77,79,731,153,118,149,0,34,5696.718775790,139
Normal,Bengaluru,1/26/2020,2/23/2020,0,3467,30,36,215,63,320,25,0,28,8241.748021140,35
Normal,Other,6/21/2019,9/26/2020,450,3468,64,75,298,51,349,133,0,463,41668.792246269,50
Normal,Pune,6/6/2019,8/24/2019,56,3469,149,106,935,181,183,189,0,79,19586.409773402,188
Normal,Other,9/4/2020,11/18/2020,56,3470,170,110,55,117,385,55,0,75,22189.164527868,184
Normal,Other,3/31/2020,8/30/2020,141,3471,551,112,115,27,392,168,0,152,32581.609676854,178
Normal,Other,6/2/2019,6/23/2020,365,3473,804,163,852,93,229,135,0,387,1946.920395077,142
Normal,Bengaluru,4/5/2019,4/17/2020,365,3477,308,142,389,157,329,76,0,378,47029.411203664,79
Normal,Pune,6/9/2019,10/16/2020,478,3479,989,136,551,134,162,127,0,495,65268.953128775,193
Normal,Other,1/10/2020,10/8/2020,253,3482,964,5,918,170,357,86,0,272,24158.379158013,171
Normal,Pune,2/20/2019,2/18/2020,337,3483,935,36,978,23,417,128,0,363,63872.455038026,124
Normal,Pune,4/10/2019,10/16/2019,169,3484,365,136,576,198,22,17,0,189,16297.019963659,155
Normal,Bengaluru,1/15/2020,12/9/2020,309,3485,393,104,452,80,27,138,0,329,53678.956784543,106
Normal,Mumbai,2/17/2019,3/3/2020,365,3486,837,150,481,132,256,103,0,380,55146.745498249,115
Normal,Mumbai,5/8/2019,8/24/2019,84,3487,386,104,821,109,489,141,0,108,28774.819378112,14
Normal,Mumbai,11/4/2019,10/8/2020,337,3490,245,31,839,24,46,149,0,339,11631.237094251,122
Normal,Bengaluru,1/2/2019,7/18/2019,197,3491,362,170,47,115,58,168,0,197,2471.267293006,117
Normal,Bengaluru,2/8/2019,8/10/2020,534,3493,96,138,696,179,324,98,0,549,43286.675728337,134
Normal,Bengaluru,11/7/2019,6/13/2020,197,3495,39,157,933,64,162,165,0,219,38711.919755071,127
Normal,Pune,7/8/2019,4/15/2020,281,3496,462,23,86,14,235,72,0,282,20428.551238737,46
Normal,Mumbai,3/10/2019,1/2/2020,281,3498,104,40,941,96,98,37,0,298,51327.027416913,10
Normal,Mumbai,9/30/2019,11/22/2019,28,3499,270,85,796,104,129,70,0,53,45279.961334145,158
Normal,Mumbai,12/31/2019,11/21/2020,309,3500,263,75,988,32,339,196,0,326,23288.318633957,48
Normal,Mumbai,3/7/2019,8/21/2020,506,3501,358,9,764,190,419,9,0,533,36302.317711639,123
Normal,Pune,1/26/2019,10/8/2019,253,3502,174,30,33,39,87,69,0,255,15477.428092047,128
Normal,Pune,2/7/2020,3/28/2020,28,3504,117,62,348,90,347,125,0,50,41970.270532808,82
Normal,Other,3/14/2019,12/28/2019,281,3505,416,38,540,122,35,118,0,289,43251.259700552,53
Normal,Other,2/24/2020,8/22/2020,169,3508,219,160,610,10,195,88,0,180,9290.710723934,0
Normal,Other,1/3/2019,5/10/2019,112,3509,398,138,297,158,308,173,0,127,62063.664641418,168
Normal,Other,7/9/2019,7/30/2019,0,3511,863,104,247,177,496,131,0,21,39223.627627696,144
Normal,Bengaluru,6/30/2019,11/18/2019,141,3512,967,153,730,181,344,144,0,141,28323.482909376,81
Normal,Pune,1/17/2019,12/5/2020,674,3513,89,1,12,170,428,59,0,688,35294.532122951,96
Normal,Other,4/3/2020,8/8/2020,112,3514,580,45,409,69,440,91,0,127,441.032192659,53
Normal,Mumbai,2/8/2020,5/7/2020,84,3515,671,170,671,130,436,148,0,89,9201.631840492,73
Normal,Other,1/26/2019,8/13/2019,197,3516,4,5,658,43,214,166,0,199,10782.902419429,50
Normal,Bengaluru,11/24/2019,10/30/2020,337,3517,40,31,114,110,494,167,0,341,54557.105981021,133
Normal,Bengaluru,2/19/2019,8/20/2020,534,3520,35,24,522,31,24,192,0,548,8891.569191611,2
Normal,Pune,6/20/2019,5/1/2020,309,3522,710,135,427,72,468,42,0,316,19067.982727076,121
Normal,Pune,10/2/2019,11/6/2019,28,3524,495,183,101,58,400,114,0,35,70316.668858429,105
Normal,Mumbai,6/25/2019,9/5/2020,422,3525,353,105,921,60,70,99,0,438,25630.464690839,117
Normal,Other,5/11/2019,7/7/2020,422,3527,977,18,982,24,352,147,0,423,30127.036627012,116
Normal,Mumbai,1/21/2019,12/11/2020,674,3528,320,158,869,59,344,51,0,690,26660.076827481,128
Normal,Other,1/9/2019,6/13/2020,506,3532,647,69,981,85,184,12,0,521,68265.660893140,91
Normal,Other,9/17/2019,11/29/2020,422,3537,792,76,787,1,356,61,0,439,13601.292521155,175
Normal,Bengaluru,11/10/2019,6/25/2020,225,3539,688,5,727,42,218,56,0,228,25938.113475110,177
Normal,Mumbai,11/21/2019,8/26/2020,253,3541,850,65,663,26,497,25,0,279,67455.643935018,10
Normal,Mumbai,8/14/2020,11/4/2020,56,3545,935,72,226,23,362,183,0,82,65719.300197089,20
Normal,Other,1/9/2019,3/4/2020,393,3546,166,111,826,141,437,53,0,420,1505.938149181,142
Normal,Pune,2/16/2019,6/30/2019,112,3547,850,168,37,132,258,127,0,134,10274.673660495,67
Normal,Other,5/17/2019,8/28/2020,450,3551,795,122,642,173,379,115,0,469,23032.607435477,141
Normal,Pune,1/23/2019,10/18/2020,618,3554,840,105,583,0,149,15,0,634,34999.933176945,129
Normal,Mumbai,7/15/2019,1/10/2020,169,3555,947,153,890,4,172,7,0,179,32608.006405975,73
Normal,Mumbai,5/22/2019,6/28/2019,28,3557,845,5,822,73,267,22,0,37,31552.611566264,95
Normal,Other,1/30/2019,3/11/2019,28,3558,689,115,79,12,103,27,0,40,1340.773957167,129
Normal,Other,3/25/2020,10/27/2020,197,3561,595,150,91,53,55,97,0,216,19905.492826174,102
Normal,Other,10/1/2019,11/13/2019,28,3562,119,94,55,3,408,174,0,43,49099.704452384,127
Normal,Pune,11/6/2019,12/22/2019,28,3563,803,165,434,175,205,189,0,46,52777.036379576,1
Normal,Bengaluru,11/30/2019,1/11/2020,28,3564,328,196,570,1,382,62,0,42,59447.147098606,5
Normal,Mumbai,2/20/2019,5/31/2019,84,3567,561,153,733,87,353,14,0,100,34366.329636501,84
Normal,Bengaluru,11/15/2019,4/15/2020,141,3570,895,79,213,5,308,1,0,152,39252.630920483,152
Normal,Pune,10/25/2019,2/22/2020,112,3573,208,95,240,113,494,131,0,120,37908.531895475,82
Normal,Pune,5/10/2019,10/21/2019,141,3574,868,181,493,117,446,159,0,164,21569.334768309,158
Normal,Bengaluru,3/24/2020,6/7/2020,56,3580,391,11,793,155,143,129,0,75,38999.400267669,29
Normal,Bengaluru,4/27/2020,7/2/2020,56,3582,321,177,536,162,205,48,0,66,69666.264735303,27
Normal,Other,1/12/2020,3/12/2020,56,3587,188,118,66,79,391,87,0,60,50398.297549380,109
Normal,Bengaluru,12/4/2019,4/11/2020,112,3590,621,184,287,161,488,193,0,129,51485.809388609,185
Normal,Pune,6/29/2019,11/19/2020,506,3592,389,101,183,155,391,148,0,509,3071.727802447,31
Normal,Mumbai,4/26/2019,8/8/2020,450,3594,186,21,378,150,286,47,0,470,59571.162387449,118
Normal,Other,5/8/2019,7/21/2020,422,3595,295,76,677,110,261,14,0,440,40794.044759561,116
Normal,Bengaluru,1/24/2020,6/21/2020,141,3596,621,192,160,100,47,109,0,149,19224.723372485,19
Normal,Bengaluru,1/13/2020,9/10/2020,225,3598,624,88,630,12,377,53,0,241,45765.440406548,119
Normal,Bengaluru,11/17/2019,4/19/2020,141,3603,850,15,255,149,192,72,0,154,56458.157918234,83
Normal,Other,4/1/2020,12/3/2020,225,3604,517,92,982,160,183,23,0,246,678.733133879,157
Normal,Mumbai,4/6/2019,6/1/2019,28,3608,357,72,690,116,305,74,0,56,61408.432213118,75
Normal,Pune,5/29/2020,9/5/2020,84,3609,375,85,650,136,144,138,0,99,42094.718515488,75
Normal,Other,4/20/2019,8/23/2019,112,3610,309,24,451,115,278,26,0,125,15903.832746088,82
Normal,Other,11/4/2019,1/30/2020,84,3611,153,75,757,88,285,42,0,87,61329.483955333,182
Normal,Other,2/16/2020,7/13/2020,141,3614,826,55,837,170,274,61,0,148,17258.191399821,118
Normal,Other,6/30/2019,5/2/2020,281,3615,958,37,630,158,454,62,0,307,30657.712078394,144
Normal,Other,7/18/2019,7/6/2020,337,3618,766,97,19,106,146,173,0,354,363.342709660,92
Normal,Pune,11/17/2019,3/10/2020,112,3620,305,153,929,63,258,179,0,114,27480.696697173,21
Normal,Other,2/3/2019,3/3/2020,393,3621,33,161,183,147,185,137,0,394,42110.092723382,121
Normal,Bengaluru,10/9/2019,8/26/2020,309,3622,438,95,818,61,70,120,0,322,44458.679514239,40
Normal,Mumbai,8/15/2019,5/19/2020,253,3623,118,182,390,98,64,31,0,278,52874.065356232,184
Normal,Bengaluru,1/14/2020,11/30/2020,309,3624,984,9,369,179,129,134,0,321,40028.755685317,103
Normal,Other,1/30/2020,5/17/2020,84,3625,495,110,99,62,470,161,0,108,66063.100002548,11
Normal,Pune,5/6/2020,8/25/2020,84,3627,637,100,517,53,456,149,0,111,57151.746841689,76
Normal,Pune,7/3/2019,9/27/2019,84,3629,370,118,371,105,88,129,0,86,35249.805804583,116
Normal,Mumbai,1/23/2019,12/29/2019,337,3632,473,70,18,61,439,111,0,340,19890.437355432,24
Normal,Bengaluru,2/21/2020,11/29/2020,281,3633,185,160,118,18,189,139,0,282,61070.848030131,96
Normal,Bengaluru,4/13/2019,6/24/2020,422,3634,991,33,253,192,184,157,0,438,37498.899481624,144
Normal,Pune,5/21/2019,4/2/2020,309,3635,470,106,158,197,422,40,0,317,27998.184035448,181
Normal,Other,5/23/2019,9/24/2019,112,3640,416,193,960,68,121,14,0,124,3585.223171371,196
Normal,Bengaluru,10/6/2019,2/28/2020,141,3641,569,50,956,196,41,1,0,145,43215.751519246,147
Normal,Other,4/14/2019,9/13/2020,506,3646,506,13,891,15,423,126,0,518,9083.290696302,12
Normal,Bengaluru,1/6/2020,6/25/2020,169,3647,570,105,466,57,210,71,0,171,26126.611847206,7
Normal,Other,11/8/2019,2/1/2020,84,3648,883,195,844,89,3,192,0,85,47625.759504439,28
Normal,Other,5/8/2019,8/31/2019,112,3649,516,79,823,34,378,159,0,115,4363.861128017,182
Normal,Other,1/17/2019,5/28/2019,112,3651,78,16,296,194,315,154,0,131,10563.354031298,40
Normal,Mumbai,6/24/2019,1/24/2020,197,3659,930,69,238,88,143,40,0,214,65393.424333853,186
Normal,Bengaluru,7/18/2019,10/28/2020,450,3660,487,129,264,25,465,18,0,468,31144.501739337,181
Normal,Other,6/8/2019,6/29/2019,0,3671,569,120,680,191,250,120,0,21,46299.338259998,116
Normal,Mumbai,9/9/2019,7/18/2020,309,3672,695,32,311,25,450,174,0,313,31712.442468238,179
Normal,Pune,1/8/2020,3/23/2020,56,3674,206,9,317,27,51,0,0,75,69630.763554746,179
Normal,Bengaluru,5/20/2019,10/23/2020,506,3677,951,2,549,171,232,105,0,522,54437.442506938,49
Normal,Bengaluru,4/8/2019,6/7/2019,56,3679,122,193,0,181,217,161,0,60,66635.358642134,121
Normal,Pune,9/20/2019,11/11/2020,393,3680,196,116,953,142,60,106,0,418,31286.296425109,26
Normal,Other,7/3/2020,8/23/2020,28,3681,993,101,846,21,248,114,0,51,20082.808625026,89
Normal,Mumbai,3/11/2019,9/29/2019,197,3682,562,189,690,17,160,196,0,202,11073.795223860,28
Normal,Mumbai,5/8/2019,7/3/2019,28,3684,855,149,153,129,58,116,0,56,38564.174940248,50
Normal,Pune,3/21/2019,8/30/2020,506,3686,204,173,453,60,51,40,0,528,62390.587105554,0
Normal,Mumbai,6/25/2020,10/20/2020,112,3688,960,91,799,72,426,82,0,117,11810.637587233,134
Normal,Other,4/1/2019,5/16/2019,28,3689,903,160,953,0,265,134,0,45,18141.296298929,150
Normal,Other,2/20/2019,11/30/2019,281,3692,809,181,107,173,438,130,0,283,38546.573853577,111
Normal,Mumbai,1/1/2019,9/24/2020,618,3693,326,175,338,85,102,139,0,632,22394.951749776,107
Normal,Other,5/27/2019,8/27/2020,450,3695,275,129,74,109,255,138,0,458,56725.501696215,111
Normal,Bengaluru,6/24/2019,2/28/2020,225,3701,199,36,647,120,39,156,0,249,48597.374928557,35
Normal,Other,6/15/2019,1/10/2020,197,3702,872,170,621,90,69,95,0,209,55847.750579778,197
Normal,Pune,2/22/2019,8/25/2019,169,3704,646,148,227,102,98,49,0,184,27819.077980008,72
Normal,Mumbai,4/24/2020,7/26/2020,84,3706,531,53,955,63,123,140,0,93,43996.084004708,198
Normal,Pune,3/18/2019,1/13/2020,281,3710,108,99,615,180,16,26,0,301,53867.284464941,86
Normal,Bengaluru,9/15/2019,11/22/2019,56,3711,486,135,451,5,306,161,0,68,16537.070492123,139
Normal,Other,2/24/2019,7/23/2020,506,3712,788,95,344,93,74,150,0,515,13253.983265686,91
Normal,Other,12/6/2019,6/17/2020,169,3717,860,59,209,163,218,197,0,194,55376.645047283,106
Normal,Mumbai,6/21/2019,9/6/2020,422,3718,828,58,81,179,201,160,0,443,20890.796457574,4
Normal,Pune,4/3/2019,7/21/2019,84,3720,939,125,37,24,98,193,0,109,28184.179913066,27
Normal,Pune,7/2/2019,9/19/2020,422,3722,280,173,946,162,275,99,0,445,11780.690908388,49
Normal,Pune,9/10/2019,10/16/2020,393,3724,822,54,268,148,45,105,0,402,5741.472955095,6
Normal,Bengaluru,1/12/2020,6/17/2020,141,3726,444,96,118,185,450,120,0,157,47518.003596441,25
Normal,Bengaluru,10/25/2019,8/23/2020,281,3727,686,138,581,92,334,15,0,303,963.791566742,56
Normal,Mumbai,2/18/2019,8/8/2019,169,3729,25,45,184,189,375,28,0,171,63009.018069134,137
Normal,Bengaluru,7/29/2019,5/26/2020,281,3730,457,44,34,56,10,137,0,302,69061.034954850,157
Normal,Pune,4/19/2019,10/21/2020,534,3734,964,109,163,98,155,165,0,551,63320.068823800,57
Normal,Mumbai,12/13/2019,3/19/2020,84,3735,450,68,157,187,142,127,0,97,8097.981220301,65
Normal,Other,10/13/2019,10/29/2020,365,3736,569,112,722,21,346,136,0,382,49324.733866014,77
Normal,Other,10/15/2019,4/10/2020,169,3737,604,94,131,171,500,96,0,178,6902.248451711,174
Normal,Pune,1/6/2019,3/9/2020,422,3738,300,5,338,142,474,99,0,428,5619.310616421,14
Normal,Other,2/5/2020,8/20/2020,197,3739,478,71,394,119,281,137,0,197,42379.969214015,128
Normal,Pune,2/11/2019,4/6/2020,393,3740,291,141,984,57,371,178,0,420,5768.909827341,165
Normal,Pune,12/28/2019,2/24/2020,56,3743,873,109,235,20,85,175,0,58,5832.309170897,1
Normal,Pune,4/23/2019,9/17/2019,141,3744,199,79,233,199,91,43,0,147,58112.773394468,79
Normal,Bengaluru,9/9/2020,11/19/2020,56,3745,740,63,940,24,488,147,0,71,32335.053199746,104
Normal,Mumbai,1/28/2019,11/28/2019,281,3749,212,15,29,79,185,26,0,304,5813.502537167,0
Normal,Bengaluru,2/7/2020,2/29/2020,0,3750,815,41,923,63,132,78,0,22,25761.726336001,62
